title,description,identifier,isPartOf
311 Data,"This data set shows 311 service requests in the City of Pittsburgh. This data is collected from the request intake software used by the 311 Response Center in the Department of Innovation & Performance. Requests are collected from phone calls, tweets, emails, a form on the City website, and through the 311 mobile application. 

For more information, see the 311 Data User Guide.",a8f7a1c2-7d4d-4daa-bc30-b866855f0419,
Right of Way Permits,"Submitted permits which affect the public right of way, including; road openings, machinery, valet parking, traffic obstructions and more.",23482953-50cc-4370-858c-eb0c034b8157,
Pittsburgh PLI Violations Report,"Dataset containing Department of Permits, Licenses, and Inspections (PLI) violation notices that have been issued by the City of Pittsburgh after October 15, 2015",d660edf8-9157-45ad-a282-50822badfaae,
Allegheny County Air Quality,"Air quality data is collected from the Allegheny County Health Department monitors throughout the county. This data must be verified by qualified individuals before it can be considered official. The following data is unverified. This means that any electrical disruption or equipment malfunction can report erroneous monitored data.

The dashboard featured in the image below uses the data provided through this source.  For more information about the Health Department's Air Quality Program or to view a live version of the dashboard, please visit the ACHD website: https://alleghenycounty.us/Health-Department/Programs/Air-Quality/Air-Quality.aspx",c7b3266c-adc6-41c0-b19a-8d4353bfcdaf,
Fire Incidents in City of Pittsburgh,Incidents of fire responded to by the Pittsburgh Bureau of Fire.,71416810-5f4c-4174-9b66-d1baaf5f01b4,
Police Incident Blotter (30 Day),"The 30 Day Police Blotter contains the most recent initial crime incident data, updated on a nightly basis. All data is reported at the block/intersection level, with the exception of sex crimes, which are reported at the police zone level. The information is ""semi-refined"" meaning a police report was taken, but it has not made its way through the court system. This data is subject to change once it is processed and republished using Uniform Crime Reporting (UCR) standards. The UCR coding process creates a necessary delay before processed data is available for publication. Therefore, the 30 Day blotter will provide information for users seeking the most current information available.   

This dataset will be continually overwritten and any records older than thirty days will be removed. Validated incidents will be moved to the Police Blotter Archive Dataset. Data in the archived file is of a higher quality and is the file most appropriate for reporting crime statistics. 

This dataset only contains information reported by City of Pittsburgh Police, and does not contain incidents that solely involve other police departments operating within the city (campus police, Port Authority, etc.)

[Crime Data Guide](http://www.wprdc.org/crime/)",046e5b6a-0f90-4f8e-8c16-14057fd8872e,
Daily Community Center Attendance,Daily count of individuals who have visited City Community Centers since March 2011.,5b0b8acc-d8fc-4278-bc57-684e2e4faab5,
Allegheny County Weights and Measures Inspections,"Inspections conducted by the Allegheny County Bureau of Weights and Measures. The Bureau inspects weighing and timing devices such as gas pumps, laundromat timers, parking meters, and produce scales. The Bureau also conducts price scan verifications on a regular basis to ensure consumers are being charged fairly.",fd140adb-d740-4ce3-b1e7-31f37bf97d88,
Police Incident Blotter (Archive),"The Police Blotter Archive contains crime incident data after it has been validated and processed to meet Uniform Crime Reporting (UCR) standards, published on a nightly basis. This data validation process creates a data publishing delay of approximately thirty days. Users who require the most recent incident data should use the 30 Day Police Blotter. The 30 Day Police Blotter dataset contains more recent data, but has not yet been run through quality control and standardization procedures by the Police Bureau. All data is reported at the block/intersection level, with the exception of sex crimes, which are reported at the police zone level. 

This dataset only contains information reported by City of Pittsburgh Police, and does not contain incidents that solely involve other police departments operating within the city (campus police, Port Authority, etc.)

[Crime Data Guide](http://www.wprdc.org/crime/)",5e6711a3-90e5-457d-8c73-445fb5f363e2,
Non-Traffic Citations,"Non-traffic citations (NTCs, also known as ""summary offenses"") document low-level criminal offenses where a law enforcement officer or other authorized official issued a citation in lieu of arrest. These citations normally include a fine. In Pennsylvania, NTCs often include a notice to appear before a magistrate if the person does not provide a guilty plea. Offenses that normally result in a citation include disorderly conduct, loitering, harassment and retail theft.  

This dataset only contains information reported by City of Pittsburgh Police. It does not contain incidents that solely involve other police departments operating within the city (for example, campus police or Port Authority police).

[Crime Data Guide](http://www.wprdc.org/crime/)",8a83b3f0-d228-4960-9fdf-80560520b4be,
